Date,Open,High,Low,Close,Volume
2019-01-02,36.81856395762742,37.759888517261295,36.66167592649953,37.538818359375,148158800
2019-01-03,34.225166520409374,34.63877937995314,33.75450611274441,33.7996711730957,365248800
2019-01-04,34.35591215580835,35.311498641777554,34.18238645663675,35.24256134033203,234428400
2019-01-07,35.347151941896,35.37805511903299,34.68156932360782,35.16411590576172,219111200
2019-01-08,35.55158069885025,36.08880268918446,35.30436616393607,35.83445358276367,164101200
2019-01-09,35.96281471962946,36.73298936707537,35.56822249255178,36.44298553466797,180396400
2019-01-10,36.25043882659319,36.59986957627264,35.8605981869204,36.5594596862793,143122800
2019-01-11,36.34076609205803,36.53568458300108,36.01510397126454,36.20051574707031,108092800
2019-01-14,35.85822297159505,35.95805981203487,35.470758098093015,35.65616989135742,129756800
2019-01-15,35.72035038921636,36.461997528565014,35.668054385581975,36.38593292236328,114843600
2019-01-16,36.38830771618193,37.0538902314347,36.36929065835952,36.8304443359375,122278800
2019-01-17,36.65455640109621,37.4770273073971,36.431110401176646,37.04915237426758,119284800
2019-01-18,37.438994827560705,37.52932499163731,37.077677798389054,37.2773551940918,135004000
2019-01-22,37.17988043233495,37.2559450474709,36.278965777015756,36.440608978271484,121576000
2019-01-23,36.64265395320385,36.87798596834581,36.060270599876375,36.587982177734375,92522400
2019-01-24,36.63314628936311,36.72109700768508,36.06978000885468,36.297977447509766,101766000
2019-01-25,36.95880850768255,37.58873636724454,36.683070210489795,37.50078201293945,134142000
2019-01-28,37.03250659699571,37.16087087496011,36.526191312301485,37.15373992919922,104768400
2019-01-29,37.14184157601951,37.58873337454473,36.633147058879665,36.768638610839844,166348800
2019-01-30,38.80579627840674,39.49514741075342,38.087917745132394,39.281211853027344,244439200
2019-01-31,39.48565051887251,40.17262605002727,39.11720263144844,39.56409454345703,162958400
2019-02-01,39.68769519044533,40.16786232651912,39.44285282376112,39.58310317993164,130672400
2019-02-04,39.79467638178191,40.80493485453083,39.763773197226605,40.70747375488281,125982000
2019-02-05,41.090165918195574,41.617877466125684,40.968936259342954,41.40393829345703,144406400
2019-02-06,41.51567798996915,41.734372421959264,41.08780672624007,41.41822052001953,112958400
2019-02-07,40.98083287122734,41.346905000195044,40.49115526883394,40.63378143310547,126966800
2019-02-08,40.342530021324166,40.741204197762116,40.206453704132734,40.681522369384766,95280000
2019-02-11,40.834300008718834,40.87249724592725,40.40459019684676,40.44755935668945,83973600
2019-02-12,40.60751907825849,40.82237221177081,40.51202596349423,40.796112060546875,89134000
2019-02-13,40.91547911908736,41.17569104838117,40.56454963390793,40.626617431640625,89960800
2019-02-14,40.514411986165825,40.88443638975765,40.43563153945899,40.77462387084961,87342800
2019-02-15,40.88205832041398,40.98948489841133,40.52396729862934,40.68391418457031,98507200
2019-02-19,40.51441247272279,40.92740968979166,40.46189217428749,40.80565643310547,75891200
2019-02-20,40.86771873193722,41.37620894285492,40.819974010216065,41.0682487487793,104457600
2019-02-21,41.01333700492209,41.14940962572732,40.65524617596646,40.83667755126953,68998800
2019-02-22,40.96082518714831,41.29981747146773,40.913080461961876,41.29265594482422,75652800
2019-02-25,41.57675106475054,41.984972743412,41.52661672459904,41.59346008300781,87493600
2019-02-26,41.46931508945012,41.848890569149845,41.34040032556293,41.61732482910156,68280800
2019-02-27,41.34996174511865,41.77728205593581,41.235370005885635,41.746246337890625,111341600
2019-02-28,41.61494648285592,41.75579472169711,41.280726062799076,41.33563232421875,112861600
2019-03-01,41.60539248308564,41.813084063086116,41.273561690323184,41.77011489868164,103544800
2019-03-04,41.94200066357132,42.4337783274615,41.53138940887495,41.98019790649414,109744800
2019-03-05,42.001683851206835,42.016006907094805,41.667463428832036,41.903804779052734,78949600
2019-03-06,41.698496846730684,41.89425498024918,41.524226938549475,41.662689208984375,83241600
2019-03-07,41.50752482978708,41.64360117319081,41.06588140033503,41.18046951293945,99185600
2019-03-08,40.66003277966587,41.31653281099356,40.46427465819731,41.27833557128906,95997600
2019-03-11,41.89425565466456,42.76083328628098,41.86083397800015,42.70831298828125,128044000
2019-03-12,42.970909618139764,43.60831100701947,42.82051026881575,43.18815231323242,129870400
2019-03-13,43.508038606641094,43.75870293208949,43.19053094676493,43.379127502441406,124130000
2019-03-14,43.90194565805139,43.94969402855419,43.58205197474232,43.86136245727539,94318000
2019-03-15,44.128753237145276,44.720796060386846,43.863765726136734,44.43193435668945,156171600
2019-03-18,44.355534575545406,44.97383742930715,44.353144971142925,44.8855094909668,104879200
2019-03-19,44.9642973802807,45.11708273704642,44.384188031378365,44.52981185913086,126585600
2019-03-20,44.45818824186077,45.23644164440341,44.10009725817005,44.9189338684082,124140800
2019-03-21,45.36295783215886,46.86932635513335,45.31282350160718,46.57330322265625,204136800
2019-03-22,46.63299482334304,47.194005494555036,45.54439880342435,45.608856201171875,169630800
2019-03-25,45.71866799234534,45.83087012477533,44.54651961316686,45.057395935058594,175381200
2019-03-26,45.75447374551605,46.045721333722135,44.064284077836106,44.59186935424805,199202000
2019-03-27,45.059786174955896,45.30089948100044,44.53458674675272,44.992942810058594,119393600
2019-03-28,45.107518558807506,45.25314234444775,44.768526260349205,45.0526123046875,83121600
2019-03-29,45.31761395404041,45.37729579241807,45.00965362810515,45.34626007080078,94256000
2019-04-01,45.74969477506426,45.759242263268476,44.97144517095689,45.654205322265625,111448000
2019-04-02,45.61839070652413,46.42290404035926,45.60884321901872,46.31786346435547,91062800
2019-04-03,46.13405477487213,46.90991856798124,46.11018058570054,46.63538360595703,93087200
2019-04-04,46.50169215026725,46.87888174561078,46.10779353704933,46.716548919677734,76457200
2019-04-05,46.897988470950224,47.05316343833929,46.773849225577045,47.02928924560547,74106400
2019-04-08,46.89081455147626,47.80036495686794,46.871715930873805,47.76933288574219,103526800
2019-04-09,47.8218606070634,48.42584046197502,47.5616450483043,47.626102447509766,143072800
2019-04-10,47.43033920962285,47.92212051778951,47.310975557121054,47.893470764160156,86781200
2019-04-11,47.94838081949238,47.984188458280926,47.37304713835903,47.49479675292969,83603200
2019-04-12,47.55446936708918,47.77887357386464,46.84067719245664,47.47568893432617,111042800
2019-04-15,47.40647419852276,47.70965893122135,47.27039787029543,47.5616455078125,70146400
2019-04-16,47.616548214497456,48.07251458286473,47.40169146179994,47.56641387939453,102785600
2019-04-17,47.63564578548703,48.55236142338571,47.413631135907046,48.492679595947266,115627200
2019-04-18,48.490286901803195,48.73617572376677,48.34705271069138,48.66694641113281,96783200
2019-04-22,48.42106474997594,48.92477956166057,48.30408704698256,48.826900482177734,77758000
2019-04-23,48.80301661883193,49.59559294531774,48.676491450506916,49.53113555908203,93292000
2019-04-24,49.50249097577655,49.76986437478454,49.42848609874323,49.45474624633789,70162400
