sequence_length,lstm_units,dropout_rate,batch_size,epochs,learning_rate,n_layers,mean_val_loss,std_val_loss,fold_scores,n_samples
30,50,0.2,16,100,0.001,2,0.0008813531943208849,0.0008042417609764866,"[0.00012560484174173325, 0.0005231291870586574, 0.001995325554162264]",976
15,150,0.3,16,100,0.001,3,0.0009660775334244439,0.0008946465238149918,"[5.313573274179362e-05, 0.0006639368366450071, 0.002181160030886531]",991
15,150,0.1,16,50,0.0001,2,0.000983729095120604,0.0004640214557398669,"[0.0003860264259856194, 0.0010479796910658479, 0.0015171811683103442]",991
15,50,0.1,64,50,0.001,2,0.0009904537776795526,0.0005953742353104781,"[0.0002430121530778706, 0.0010284604504704475, 0.0016998887294903398]",991
15,50,0.1,64,100,0.001,1,0.0010366071025297667,0.0006113099866093751,"[0.0001926944387378171, 0.0012960567837581038, 0.001621070085093379]",991
15,150,0.2,64,100,0.001,3,0.0010693369646711897,0.0008226783240147138,"[0.00025855880812741816, 0.000752106832806021, 0.0021973452530801296]",991
15,50,0.3,64,100,0.001,2,0.0010705772050035496,0.0006132500463988487,"[0.00031017191940918565, 0.0010895994491875172, 0.0018119602464139462]",991
15,150,0.1,32,100,0.0001,2,0.0011121768135732661,0.0006022255944920703,"[0.0004277385596651584, 0.001015452085994184, 0.0018933397950604558]",991
30,150,0.3,16,50,0.0001,2,0.0011144253076054156,0.0005862545340117955,"[0.00036456697853282094, 0.0011830442817881703, 0.0017956646624952555]",976
60,100,0.1,16,50,0.001,3,0.0011532897090849776,0.000792117276493115,"[0.00027661846252158284, 0.002195579232648015, 0.0009876714320853353]",946
15,150,0.1,16,100,0.0001,1,0.0011611914039046194,0.0008186075889456121,"[0.00010630553879309446, 0.0021016590762883425, 0.001275609596632421]",991
30,150,0.1,16,100,0.0001,1,0.001174162229290232,0.0005851032711941461,"[0.00034882864565588534, 0.0016381818568333983, 0.0015354761853814125]",976
15,100,0.2,32,50,0.0001,1,0.0012669222778640687,0.0006742803063248667,"[0.00033859448740258813, 0.0015423097647726536, 0.0019198625814169645]",991
60,100,0.1,64,50,0.001,2,0.0012726515415124595,0.0005105865192101366,"[0.0005677302251569927, 0.0017606199253350496, 0.0014896044740453362]",946
60,50,0.3,32,50,0.001,2,0.0013063884301421542,0.0005599077570724679,"[0.0005284416838549078, 0.0015675174072384834, 0.0018232061993330717]",946
60,50,0.1,16,100,0.001,1,0.0013125367016376306,0.0008302170730162238,"[0.00035030723665840924, 0.002376297488808632, 0.0012110053794458508]",946
15,100,0.3,32,50,0.0001,2,0.0013200193061493337,0.0005630397473366037,"[0.0005399945075623691, 0.00157149787992239, 0.001848565530963242]",991
15,50,0.2,16,100,0.001,3,0.001321580661169719,0.0009081741921495121,"[9.999288158724084e-05, 0.0015889171045273542, 0.0022758319973945618]",991
60,150,0.3,32,50,0.001,3,0.0013403355454405148,0.0007495384786884294,"[0.00033446401357650757, 0.0015536530409008265, 0.0021328895818442106]",946
15,50,0.3,16,100,0.0001,1,0.001342795022840922,0.0009592470386233507,"[0.0002743568329606205, 0.002600935520604253, 0.001153092714957893]",991
15,50,0.1,64,100,0.001,3,0.0013506483907500904,0.0008403472712490656,"[0.0002227150835096836, 0.0015904235187917948, 0.0022388065699487925]",991
60,50,0.3,16,50,0.001,2,0.001354602708791693,0.0007014009084481143,"[0.00036646740045398474, 0.0017735949950292706, 0.0019237457308918238]",946
15,100,0.2,32,100,0.0001,2,0.001373235136270523,0.0006611114609154727,"[0.0004454927984625101, 0.0019374714465811849, 0.0017367411637678742]",991
15,100,0.3,64,100,0.0001,2,0.0013827970736504842,0.0007110972657043857,"[0.0004858118772972375, 0.0014375230530276895, 0.002225056290626526]",991
15,150,0.2,32,100,0.0001,1,0.0013912612145456176,0.000725911638290722,"[0.0003658176283352077, 0.001861903932876885, 0.0019460620824247599]",991
30,50,0.1,32,100,0.001,3,0.0013968755204890233,0.0012624207320129858,"[0.00011487596930237487, 0.0009618097683414817, 0.0031139408238232136]",976
15,150,0.1,64,100,0.0001,2,0.0014134625283380349,0.0007235309852772621,"[0.0003978275926783681, 0.0018135308055207133, 0.0020290291868150234]",991
15,50,0.3,16,100,0.001,3,0.0014406189657165669,0.0009748534765436076,"[9.43603299674578e-05, 0.001856455230154097, 0.002371041337028146]",991
15,100,0.1,64,100,0.0001,2,0.001454238808946684,0.0007275883248979015,"[0.0004286034672986716, 0.001895423629321158, 0.0020386893302202225]",991
15,50,0.2,16,100,0.0001,2,0.0014563949274209638,0.0006892846737859178,"[0.000485926924739033, 0.002021089196205139, 0.0018621686613187194]",991
60,150,0.1,64,50,0.001,3,0.0014796096559924383,0.0007992672936540593,"[0.00035437109181657434, 0.0021350779570639133, 0.0019493799190968275]",946
15,50,0.3,64,100,0.001,3,0.0014864911548405264,0.000963674179541967,"[0.0002201789029641077, 0.0016833654372021556, 0.002555929124355316]",991
15,100,0.3,32,100,0.0001,3,0.00149085281494384,0.0007090639087540795,"[0.000611799128819257, 0.0015125209465622902, 0.002348238369449973]",991
15,150,0.1,32,50,0.0001,3,0.001502597452296565,0.0007364045677671307,"[0.0005267522647045553, 0.0016755086835473776, 0.002305531408637762]",991
30,150,0.2,32,50,0.0001,1,0.0015098552879256506,0.000770783216107935,"[0.0005361700314097106, 0.002421095035970211, 0.0015723007963970304]",976
60,150,0.2,64,50,0.001,3,0.0015143271593842655,0.0007497357668080927,"[0.0004780349263455719, 0.001838232739828527, 0.0022267138119786978]",946
30,50,0.1,64,50,0.001,1,0.0015157912663804989,0.001197705841606678,"[0.000265383452642709, 0.0031304946169257164, 0.001151495729573071]",976
60,150,0.3,64,50,0.001,3,0.0015394636429846287,0.000387734417319109,"[0.0009958191076293588, 0.0017492783954367042, 0.001873293425887823]",946
15,50,0.3,32,100,0.0001,2,0.0015466927434317768,0.0007432525987401467,"[0.0005308973486535251, 0.0018205895321443677, 0.0022885913494974375]",991
60,150,0.1,16,50,0.0001,1,0.0015655042952857912,0.0006677866039545867,"[0.0007145907147787511, 0.0023457398638129234, 0.001636182307265699]",946
30,150,0.1,64,100,0.0001,2,0.0016055983918098111,0.0006361415190858078,"[0.000727061356883496, 0.002212627325206995, 0.0018771064933389425]",976
30,100,0.1,64,50,0.0001,1,0.0016086183410758774,0.000570901542372575,"[0.0008075137156993151, 0.002096155658364296, 0.001922185649164021]",976
15,150,0.2,64,50,0.0001,3,0.0016346832853741944,0.0008036111021559416,"[0.0005374021711759269, 0.0019270684570074081, 0.002439579227939248]",991
60,50,0.2,16,100,0.001,3,0.0016359116222398977,0.0008705801383899032,"[0.0005814476753585041, 0.0027135470882058144, 0.0016127401031553745]",946
60,50,0.2,64,100,0.001,1,0.0016499781437839072,0.0011253718060180425,"[0.0004559505032375455, 0.0031582636293023825, 0.0013357202988117933]",946
30,150,0.2,64,50,0.0001,2,0.0016511402985391517,0.0006532503052733235,"[0.0007482098299078643, 0.0022718431428074837, 0.0019333679229021072]",976
60,100,0.1,32,100,0.0001,1,0.00171902160703515,0.0008670719732621273,"[0.0006994987488724291, 0.002818825887516141, 0.0016387401847168803]",946
30,50,0.2,16,50,0.0001,1,0.0017832122781934838,0.0011138529836947934,"[0.0004371640388853848, 0.0031648394651710987, 0.0017476333305239677]",976
30,150,0.3,32,100,0.0001,1,0.001795538739922146,0.0008814673091180671,"[0.0005500040715560317, 0.0023740401957184076, 0.0024625719524919987]",976
60,100,0.3,64,50,0.001,3,0.0019247977761551738,0.0005929755266452392,"[0.0011007444700226188, 0.0022021690383553505, 0.002471479820087552]",946
15,50,0.2,64,100,0.0001,3,0.0019360865893152852,0.000820159101073739,"[0.0007771141245029867, 0.0024758419021964073, 0.002555303741246462]",991
60,150,0.3,32,100,0.0001,2,0.0019499639747664332,0.0009975755366686027,"[0.001040272181853652, 0.00333866267465055, 0.0014709570677950978]",946
15,50,0.3,32,100,0.0001,3,0.0020095558332589767,0.0008838932213827965,"[0.0007816620054654777, 0.002826254814863205, 0.002420750679448247]",991
60,100,0.3,32,100,0.0001,1,0.002014849082722018,0.0008143639150465048,"[0.0009278992074541748, 0.002888002432882786, 0.002228645607829094]",946
30,50,0.1,64,50,0.0001,2,0.002030362782534212,0.0007743823268600683,"[0.0009720093221403658, 0.0028032974805682898, 0.00231578154489398]",976
15,50,0.3,64,50,0.0001,1,0.0020647678369035325,0.00012665098954456742,"[0.0019060710910707712, 0.002216034336015582, 0.0020721980836242437]",991
30,150,0.2,64,50,0.0001,1,0.0020741577997493246,0.0010441582284004736,"[0.0006275537307374179, 0.00254074577242136, 0.003054173896089196]",976
60,100,0.2,64,100,0.0001,2,0.0020764957880601287,0.0004373611956111083,"[0.0014768630499020219, 0.0025076805613934994, 0.002244943752884865]",946
60,150,0.1,16,100,0.0001,3,0.002111044440728923,0.0014449712781252984,"[0.0007295447867363691, 0.004105829168111086, 0.001497759367339313]",946
30,50,0.3,64,100,0.0001,1,0.0021190751188745103,0.001133137623861373,"[0.000521649606525898, 0.0030281287617981434, 0.002807446988299489]",976
60,50,0.1,16,50,0.001,3,0.002137604169547558,0.0017410809607233066,"[0.0005606571212410927, 0.004563750699162483, 0.0012884046882390976]",946
15,50,0.3,32,50,0.0001,3,0.002142918781222155,0.001064598288868658,"[0.0007407668163068593, 0.0033188965171575546, 0.00236909301020205]",991
30,50,0.2,16,100,0.0001,2,0.0021808086700427034,0.001500228041714493,"[0.0005051727057434618, 0.004145662300288677, 0.0018915910040959716]",976
60,50,0.2,64,100,0.0001,2,0.0021922138209144273,0.0004203955986928452,"[0.0016426497604697943, 0.0026634219102561474, 0.0022705697920173407]",946
60,50,0.3,64,100,0.0001,2,0.0021975745912641287,0.0003865448813440475,"[0.0016514086164534092, 0.0024907190818339586, 0.0024505960755050182]",946
60,100,0.2,64,100,0.0001,1,0.0023879112753396234,0.0008799904682123827,"[0.001143569010309875, 0.003026937134563923, 0.002993227681145072]",946
60,100,0.1,16,50,0.0001,1,0.0025067946990020573,0.0017575114253278506,"[0.0007406296790577471, 0.004904395435005426, 0.0018753589829429984]",946
30,50,0.2,64,50,0.0001,3,0.0025196076991657415,0.0009478586983749288,"[0.0011801060754805803, 0.0032335820142179728, 0.0031451350077986717]",976
60,100,0.1,64,100,0.0001,3,0.0026144409785047174,0.000731058242869106,"[0.0016215218929573894, 0.003360406029969454, 0.002861395012587309]",946
60,50,0.2,16,50,0.001,3,0.002653970839067673,0.001639326327457017,"[0.00046438255230896175, 0.004408585838973522, 0.003088944125920534]",946
15,50,0.1,64,50,0.0001,1,0.00287515961099416,0.001137390967923648,"[0.004467925522476435, 0.0018843290163204074, 0.0022732242941856384]",991
60,50,0.1,64,50,0.0001,3,0.003257651890938481,0.00037542263240227826,"[0.0027470446657389402, 0.00363894528709352, 0.0033869657199829817]",946
60,50,0.1,32,50,0.0001,3,0.0033992022896806398,0.001221672628184553,"[0.0017225195188075304, 0.0045984829775989056, 0.0038766043726354837]",946
30,50,0.2,64,50,0.0001,1,0.003416843789940079,0.0008487054820563323,"[0.0046154772862792015, 0.002763584489002824, 0.002871469594538212]",976
60,50,0.3,64,50,0.0001,1,0.005663515534251928,0.004645446347915877,"[0.012195908464491367, 0.001792224356904626, 0.0030024137813597918]",946
