sequence_length,lstm_units,dropout_rate,batch_size,epochs,learning_rate,n_layers,mean_val_loss,std_val_loss,fold_scores,n_samples
15,150,0.1,16,100,0.0001,1,0.0011519213439896703,0.0006901180663237426,"[0.0002721712226048112, 0.001957752974703908, 0.0012258398346602917]",992
30,50,0.1,64,50,0.001,1,0.001204251234109203,0.0007726324372610576,"[0.00022740685380995274, 0.002116669435054064, 0.0012686774134635925]",977
60,100,0.1,64,50,0.001,2,0.001209700247272849,0.0005330993697856786,"[0.000522385467775166, 0.0018216694006696343, 0.0012850458733737469]",947
60,50,0.3,32,50,0.001,2,0.0012169811428369333,0.0005441224932626067,"[0.0004730412329081446, 0.0014186014886945486, 0.0017593007069081068]",947
15,100,0.3,32,50,0.0001,2,0.0012759264985409875,0.0005624070079470344,"[0.0004894266021437943, 0.0015666293911635876, 0.0017717235023155808]",992
15,50,0.2,16,100,0.001,3,0.001292209890380036,0.0008759584917996274,"[0.00010190267494181171, 0.0015901573933660984, 0.002184569602832198]",992
15,100,0.2,32,50,0.0001,1,0.0012977330285745363,0.000719729195587987,"[0.0003217774792574346, 0.0015354144852608442, 0.00203600712120533]",992
15,50,0.3,16,100,0.0001,1,0.0013078706300196548,0.000927683682659394,"[0.0002520938287489116, 0.002510219579562545, 0.001161298481747508]",992
30,50,0.1,32,100,0.001,3,0.0013162208148666348,0.0012387598648299254,"[0.0001627240126254037, 0.0007510966970585287, 0.0030348417349159718]",977
60,150,0.2,64,50,0.001,3,0.0013173489229908835,0.0007271778604684582,"[0.0003065694181714207, 0.0019868272356688976, 0.0016586501151323318]",947
30,100,0.1,64,100,0.001,3,0.0013282054181521137,0.0009260902858901975,"[0.0006107323570176959, 0.0007380535826086998, 0.0026358303148299456]",977
60,100,0.1,16,50,0.001,3,0.001330017907700191,0.0007578573274041897,"[0.0007523676031269133, 0.0024006753228604794, 0.0008370107971131802]",947
15,100,0.2,32,100,0.0001,2,0.001345860247965902,0.0006299453568771674,"[0.000457103771623224, 0.001843442558310926, 0.0017370344139635563]",992
